"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Your Store User Handling","login Feature","Failed login with incorrect username or/and incorrect password","0","0","6","0","0"
"Your Store User Handling","login Feature","Successfully login with correct email and password","0","0","1","0","0"
"Your Store User Handling","Signup Feature","Failed signup with wrong characters of first name","0","2","18","0","0"
"Your Store User Handling","Data handling Feature","Successful password changing","0","0","1","0","0"
"Your Store User Handling","logout Feature","Successfully logout of user","0","0","1","0","0"
"Your Store User Handling","Data handling Feature","Successful entry of data","0","0","3","0","0"
"Your Store User Handling","Signup Feature","Successfully signup with correct required dates.","0","0","1","0","0"
"Your Store User Handling","Signup Feature","Privacy Policy opening and checking","0","0","1","0","0"
"Your Store User Handling","Data handling Feature","Successful address deleting","0","0","1","0","0"
"Your Store Product Handling","Product Review Feature","Successfully send a review for the product","0","0","1","0","0"
"Your Store Product Handling","Product listing Feature","Successfully list more then one page of products","0","0","1","0","0"
"Your Store Product Handling","Product Listing Feature","Successfully list products in a specific order","0","0","1","0","0"
"Your Store Product Handling","Product description save Feature","Successfully save the description of listed products","0","0","1","0","0"
