"Status","Name","Duration in ms","Description"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1729","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC03_LoginIsSuccessTest.loginIsSuccessful","2767","Login to Your Store with valid user, and pass"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1254","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC13_PasswordChangingSuccessTest.changeThePasswordSuccessful","6211","Test to successful change password of user"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1252","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","2718","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC12_LogoutSuccessTest.logoutIsSuccess","2351","Successful logout from Your Store"
"passed","masterwork.myStore.TC09_RepetitiveDataEntryTest.repetitiveDataEntryToAddressBook","2577","Test to successful entry data to user account"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1591","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC01_SignUpIsSuccessTest.signUpIsSuccessful","2860","Test for signup with valid dates"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1562","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1323","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC05_PrivacyPolicyOpenAndCheckTest.openAndCheckThePrivacyPolicy","3351","Test for open Privacy Policy and check"
"passed","masterwork.myStore.TC10_DeleteAddressSuccessfulTest.deletingAddressSuccessfully","3781","Test to successful deleting address of user"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","3549","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC08_SendProductReviewSuccessTest.sendReviewToProduct","2664","Test for successful sending review for the product"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","3543","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1813","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1666","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC09_RepetitiveDataEntryTest.repetitiveDataEntryToAddressBook","2591","Test to successful entry data to user account"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1292","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1276","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1247","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC07_PaginationSuccessfulTest.listingProductsSecondPage","3434","Test for successful multi-page listing of products"
"broken","masterwork.myStore.TC02_SignUpIsFailTest.signUpIsFailed","1988","Test for signup with with boundary value of the required fields"
"passed","masterwork.myStore.TC04_LoginIsFailTest.loginIsFail","1735","Login to Your Store with invalid user, invalid pass"
"passed","masterwork.myStore.TC06_ProductListingTest.productListingSortByPriceIsSuccessfulTest","2109","Test for listing products in a specific order"
"passed","masterwork.myStore.TC11_SaveMoreProductDataToFilesTest.saveDescriptionOfMoreProductsToFiles","5699","Test for saving description of listed products"
"passed","masterwork.myStore.TC09_RepetitiveDataEntryTest.repetitiveDataEntryToAddressBook","2926","Test to successful entry data to user account"
